folder,start_frame,end_frame,label,commentary,username,source_file,duration_sec
2021.06.14.16.48.02_veh-12_03091_03461,448,730,,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,28.2
2021.06.09.17.37.09_veh-12_04489_04816,396,705,"After this light, switch to the right lane, and keep straight",Static Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,30.9
2021.06.09.14.50.36_veh-26_03310_03392,122,305,,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,18.3
2021.06.14.17.26.26_veh-38_05760_05896,44,465,keep going straight after this light. continue going straight after this light but on this one switch over one lane to the right,Static Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,42.1
2021.06.09.17.37.09_veh-12_01465_01790,1101,1571,"move to the most right lane. move to the right lane coming up to take a right turn on the coming light. slow down and yield for these pedestrians and bumpers, until there is a clear way and pedestrians stop for you to have the right of way, continue going at normal speed. turn to the left lane. turn to the left most lane.",Both,Jeevan,./staging/labels - Jeevan Johnson.csv,47.0
2021.06.23.20.00.35_veh-35_04162_04257,144,368,turn right here. STOP. yield until you can safely turn.,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,22.4
2021.08.17.18.54.02_veh-45_02202_02416,277,832,turn left on this upcoming intersection. keep on straight and give some room for the parked cars. turn right on the upcoming road. slow down for the upcoming entrance gate and reverse through the gate.,Static Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,55.5
2021.08.17.15.02.08_veh-45_02111_02303,7,954,turn right at this light. turn left at this intersection. turn right at this intersection. yield and turn left on the incoming intersection then turn right. at this coming light take a left.,Static Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,94.7
2021.06.14.11.44.56_veh-35_02399_02672,163,1349,turn right,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,118.6
2021.06.09.14.03.17_veh-12_02112_02202,151,432,move over one lane to the right,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,28.1
2021.07.09.17.06.37_veh-35_00928_02567,1400,2204,yield for the pedestrians. take a left and turn left at the light. ,Both,Jeevan,./staging/labels - Jeevan Johnson.csv,80.4
2021.06.14.13.27.42_veh-35_01160_01331,132,841,move to the right one lane and keep straight,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,70.9
2021.07.16.23.22.27_veh-14_01631_03833,264,1360,,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,109.6
2021.06.09.18.23.43_veh-35_03967_05057,1828,2522,,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,69.4
2021.07.16.23.22.27_veh-14_04496_06203,1859,2126,,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,26.7
2021.07.09.01.37.16_veh-26_01726_01793,27,285,after the crowded pedestrians street take a right. move to the far right lane. ,Dynamic Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,25.8
2021.06.09.14.03.17_veh-12_00711_00839,81,547,take a right. turn right at the light. move one lane to the left. ,Static Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,46.6
2021.06.09.18.23.43_veh-35_01702_01928,110,1116,,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,100.6
2021.06.14.11.44.56_veh-35_01869_01972,70,423,move one lane to the right.,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,35.3
2021.06.09.17.37.09_veh-12_03219_03372,181,730,"
turn left. pull up to the entrance next to the sign. continue straight.",Static Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,54.9
2021.06.14.18.33.41_veh-35_03575_03668,168,423,,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,25.5
2021.06.14.11.44.56_veh-35_04178_05084,630,799,,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,16.9
2021.06.23.17.31.36_veh-16_00634_01421,1471,1923,,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,45.2
2021.06.14.13.27.42_veh-35_00005_00123,30,426,take a right at the sign. pull up to the entrance. now leave the entrance.,Static Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,39.6
2021.06.14.11.44.56_veh-35_04178_05084,665,2069,move over one lane to the left. move over one lane to the right. move over one lane to the right.,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,140.4
2021.06.09.17.23.18_veh-38_02526_03027,149,2376,move over one lane to the right. move over one lane to the right. move to the far right lane and take a right at the light. move to the left lane. take a left at this sign.,Static Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,222.7
2021.06.23.14.06.20_veh-26_02505_02775,414,813,,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,39.9
2021.07.16.16.08.35_veh-35_02551_02640,27,189,move over one lane to the right. ,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,16.2
2021.06.14.20.14.09_veh-26_01121_01211,54,217,move to the left lane.,Non-Referential,Jeevan,./staging/labels - Jeevan Johnson.csv,16.3
