start_frame,end_frame,label,commentary,username
1446,1759,Shift right twice to take a right and proceed,Non-Referential,Marcus Blennemann
1446,1759,Bring me to the Crystals building,Non-Referential,Marcus Blennemann
553,1352,Start by going under the bridge and continue forward.,Static Referential,Marcus Blennemann
553,1352,Follow the white car ahead until it shifts right,Dynamic Referential,Marcus Blennemann
994,1864,"At the next light, take a right and continue forward.",Static Referential,Marcus Blennemann
994,1864,Bring me to the Aria Hotel,Static Referential,Marcus Blennemann
286,594,Continue forward whenever safe,Non-Referential,Marcus Blennemann
1492,1677,Take a right,Non-Referential,Marcus Blennemann
1136,1372,Wait at the light,Non-Referential,Marcus Blennemann
1136,1372,Go when the light turns green,Static Referential,Marcus Blennemann
1246,1532,Go when the light turns green then shift right,Static Referential,Marcus Blennemann
1358,1512,"After the light turns green, shift right behind the construction vehicle",Both,Marcus Blennemann
454,1047,Go forward whenever safe,Non-Referential,Marcus Blennemann
150,458,Go forward while avoiding the left lane closure,Static Referential,Marcus Blennemann
559,947,Go towards the large Aria billboard,Static Referential,Marcus Blennemann
