folder,start_frame,end_frame,label,commentary,username
2021.08.17.13.15.12_veh-45_02124_02293 2,4,837,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,306,464,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,68,658,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,141,398,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,102,358,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,93,685,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,93,804,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,88,837,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,17,792,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,22,704,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,62,786,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,231,559,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,309,757,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,77,786,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,114,383,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,23,418,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,222,752,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,46,677,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,95,728,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,100,688,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,153,809,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,182,832,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,57,694,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,315,815,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,234,808,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,654,828,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,13,835,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,196,661,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,88,564,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,53,785,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,2,820,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,34,817,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,176,703,,Non-Referential,Marcus
2021.08.17.13.15.12_veh-45_02124_02293 2,299,659,,Non-Referential,Marcus
